#Digilent WaveForms Oscilloscope Acquisition
#Device Name: DIGI_VITO
#Serial Number: SN:210321B3D6BB
#Date Time: 2025-12-04 12:45:53.892
#Sample rate: 9.09091e+06Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 1.5 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 500 mV/div Offset: -2 V Sample Mode: Average
#Wavegen Channel 2: Running
#Mode: Simple
#Type: RampUp
#Frequency: 5 kHz
#Period: 200 us
#Amplitude: 1.65 V
#Offset: 1.65 V
#Symmetry: 100 %
#Phase: 0 °

Time (s),Channel 1 (V)
0.0003774174346685104,1.131406530377209
0.0003775274346685104,1.132408397651327
0.0003776374346685104,1.135080043715644
0.0003777474346685104,1.136415866747802
0.0003778574346685104,1.139087512812119
0.0003779674346685104,1.139755424328198
0.0003780774346685105,1.141759158876437
0.0003781874346685105,1.144764760698792
0.0003782974346685105,1.147102451005069
0.0003784074346685105,1.150442008585465
0.0003785174346685105,1.151443875859584
0.0003786274346685105,1.151777831617623
0.0003787374346685105,1.152111787375663
0.0003788474346685105,1.15444947768194
0.0003789574346685105,1.156119256472138
0.0003790674346685105,1.157455079504296
0.0003791774346685105,1.158790902536454
0.0003792874346685105,1.161462548600771
0.0003793974346685105,1.163466283149009
0.0003795074346685105,1.164802106181167
0.0003796174346685104,1.167473752245484
0.0003797274346685104,1.169477486793721
0.0003798374346685104,1.171815177099998
0.0003799474346685104,1.172817044374117
0.0003800574346685104,1.174486823164315
0.0003801674346685104,1.176824513470592
0.0003802774346685105,1.178160336502751
0.0003803874346685105,1.180831982567067
0.0003804974346685105,1.184505495905503
0.0003806074346685105,1.185507363179621
0.0003807174346685105,1.185841318937661
0.0003808274346685105,1.188846920760017
0.0003809374346685105,1.189514832276096
0.0003810474346685105,1.191518566824334
0.0003811574346685105,1.193188345614532
0.0003812674346685105,1.195192080162769
0.0003813774346685105,1.196193947436888
0.0003814874346685105,1.197195814711007
0.0003815974346685105,1.198865593501205
0.0003817074346685105,1.200869328049442
0.0003818174346685104,1.203207018355719
0.0003819274346685104,1.203207018355719
0.0003820374346685104,1.204876797145917
0.0003821474346685104,1.206546575936115
0.0003822574346685104,1.209552177758471
0.0003823674346685104,1.211221956548669
0.0003824774346685105,1.213225691096907
0.0003825874346685105,1.214895469887105
0.0003826974346685105,1.217233160193382
0.0003828074346685105,1.219570850499659
0.0003829174346685105,1.221574585047897
0.0003830274346685105,1.225582054144371
0.0003831374346685105,1.22691787717653
0.0003832474346685105,1.227919744450649
0.0003833574346685105,1.228921611724767
0.0003834674346685105,1.230925346273005
0.0003835774346685105,1.231593257789084
0.0003836874346685105,1.233930948095361
0.0003837974346685105,1.237604461433797
0.0003839074346685104,1.238272372949876
0.0003840174346685104,1.240610063256153
0.0003841274346685104,1.242279842046351
0.0003842374346685104,1.244617532352628
0.0003843474346685104,1.248291045691063
0.0003844574346685104,1.249292912965182
0.0003845674346685104,1.251630603271458
0.0003846774346685105,1.251964559029499
0.0003847874346685105,1.251630603271459
0.0003848974346685105,1.254302249335776
0.0003850074346685105,1.255638072367934
0.0003851174346685105,1.257975762674211
0.0003852274346685105,1.261983231770686
0.0003853374346685105,1.263986966318924
0.0003854474346685105,1.264654877835003
0.0003855574346685105,1.264988833593043
0.0003856674346685105,1.266658612383241
0.0003857774346685105,1.268996302689517
0.0003858874346685105,1.270666081479716
0.0003859974346685105,1.272001904511874
0.0003861074346685104,1.274339594818151
0.0003862174346685104,1.276009373608349
0.0003863274346685104,1.277011240882468
0.0003864374346685104,1.277011240882468
0.0003865474346685104,1.278681019672665
0.0003866574346685104,1.281352665736982
0.0003867674346685104,1.283356400285219
0.0003868774346685105,1.285694090591497
0.0003869874346685105,1.288365736655813
0.0003870974346685105,1.290035515446011
0.0003872074346685105,1.292707161510328
0.0003873174346685105,1.293041117268368
0.0003874274346685105,1.294376940300526
0.0003875374346685105,1.294710896058566
0.0003876474346685105,1.295712763332685
0.0003877574346685105,1.298718365155041
0.0003878674346685105,1.301390011219357
0.0003879774346685105,1.303059790009555
0.0003880874346685105,1.305731436073872
0.0003881974346685105,1.306733303347991
0.0003883074346685104,1.308069126380149
0.0003884174346685104,1.310072860928387
0.0003885274346685104,1.313412418508783
0.0003886374346685104,1.315082197298981
0.0003887474346685104,1.317753843363297
0.0003888574346685104,1.320425489427614
0.0003889674346685104,1.320091533669574
0.0003890774346685105,1.322429223975851
0.0003891874346685105,1.32343109124997
0.0003892974346685105,1.325768781556247
0.0003894074346685105,1.327772516104485
0.0003895174346685105,1.329108339136643
0.0003896274346685105,1.330444162168801
0.0003897374346685105,1.333115808233118
0.0003898474346685105,1.333449763991158
0.0003899574346685105,1.334785587023316
0.0003900674346685105,1.336789321571553
0.0003901774346685105,1.339127011877831
0.0003902874346685105,1.33979492339391
0.0003903974346685105,1.341798657942147
0.0003905074346685104,1.343468436732345
0.0003906174346685104,1.345138215522543
0.0003907274346685104,1.346140082796662
0.0003908374346685104,1.349813596135097
0.0003909474346685104,1.352151286441374
0.0003910574346685104,1.35549084402177
0.0003911674346685105,1.357160622811969
0.0003912774346685105,1.359832268876285
0.0003913874346685105,1.360500180392364
0.0003914974346685105,1.363171826456681
0.0003916074346685105,1.36350578221472
0.0003917174346685105,1.365843472520997
0.0003918274346685105,1.366511384037077
0.0003919374346685105,1.368515118585314
0.0003920474346685105,1.370518853133551
0.0003921574346685105,1.37185467616571
0.0003922674346685105,1.373190499197868
0.0003923774346685105,1.374192366471987
