#Digilent WaveForms Oscilloscope Acquisition
#Device Name: DIGI_VITO
#Serial Number: SN:210321B3D6BB
#Date Time: 2025-12-04 10:26:35.529
#Sample rate: 62500Hz
#Samples: 8192
#Trigger: Source: Channel 2 Type: Edge Condition: Rising Level: 1.15 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 500 mV/div Offset: -2.5 V Sample Mode: Average
#Channel 2: Range: 500 mV/div Offset: -2.5 V Sample Mode: Average
#Wavegen Channel 2: Running
#Mode: Simple
#Type: RampUp
#Frequency: 5 kHz
#Period: 200 us
#Amplitude: 1.65 V
#Offset: 1.65 V
#Symmetry: 100 %
#Phase: 0 °

Time (s),Channel 1 (V),Channel 2 (V)
-0.03906170464864864,0.0415634321283842,0.04546695287038105
-0.03904570464864864,0.04056156485426589,0.04244280437591774
-0.03902970464864865,0.04156343212838375,0.04244280437591774
-0.03901370464864865,0.04089552061230547,0.04042670537960993
-0.03899770464864865,0.04089552061230517,0.04009068888022416
-0.03898170464864865,0.04122947637034491,0.0397546723808393
-0.03896570464864865,0.04056156485426543,0.03874662288268516
-0.03894970464864864,0.04056156485426558,0.03874662288268531
-0.03893370464864864,0.04089552061230608,0.03908263938207659
-0.03891770464864865,0.04289925516054181,0.05353134885560982
-0.03890170464864865,0.04256529940250298,0.05487541485315584
-0.03888570464864865,0.04256529940250298,0.05050720036115308
-0.03886970464864865,0.0415634321283842,0.04647500236853563
-0.03885370464864864,0.04122947637034491,0.04378687037345719
-0.03883770464864864,0.04189738788642348,0.04311483737468655
-0.03882170464864865,0.04089552061230563,0.04109873837837966
-0.03880570464864865,0.04056156485426558,0.03975467238083991
-0.03878970464864865,0.0415634321283842,0.04009068888022416
-0.03877370464864865,0.04089552061230517,0.03941865588145443
-0.03875770464864865,0.04056156485426543,0.03874662288268516
-0.03874170464864864,0.04122947637034491,0.03908263938207139
-0.03872570464864864,0.04122947637034597,0.04210678787654052
-0.03870970464864865,0.04356716667662069,0.05890761284576564
-0.03869370464864865,0.04289925516054302,0.05285931585684941
-0.03867770464864865,0.04189738788642394,0.0481550848654595
-0.03866170464864865,0.0415634321283842,0.04546695287038105
-0.03864570464864864,0.04122947637034491,0.04345085387407233
-0.03862970464864864,0.04122947637034476,0.04210678787653212
-0.03861370464864864,0.04089552061230532,0.04042670537960902
-0.03859770464864865,0.04122947637034476,0.04042670537960902
-0.03858170464864865,0.04089552061230517,0.0397546723808393
-0.03856570464864865,0.04056156485426543,0.03908263938207002
-0.03854970464864865,0.04056156485426543,0.03874662288268516
-0.03853370464864864,0.04056156485426649,0.03908263938207644
-0.03851770464864864,0.04289925516054256,0.05319533235623244
-0.03850170464864865,0.04256529940250313,0.05521143135253978
-0.03848570464864865,0.04256529940250298,0.05084321686053993
-0.03846970464864865,0.0415634321283842,0.04647500236853563
-0.03845370464864865,0.04089552061230517,0.04345085387407233
-0.03843770464864864,0.0415634321283842,0.0427788208753026
-0.03842170464864864,0.04056156485426543,0.04076272187899373
-0.03840570464864864,0.04056156485426574,0.04042670537960887
-0.03838970464864865,0.0412294763703446,0.04009068888022431
-0.03837370464864865,0.04022760909622614,0.03908263938207002
-0.03835770464864865,0.04022760909622614,0.03874662288268516
-0.03834170464864865,0.04089552061230517,0.03908263938207002
-0.03832570464864864,0.04122947637034491,0.04244280437591774
-0.03830970464864864,0.04356716667662129,0.05857159634638583
-0.03829370464864865,0.04256529940250343,0.05285931585684926
-0.03827770464864865,0.04189738788642425,0.04781906836607693
-0.03826170464864865,0.04122947637034491,0.04513093637099619
-0.03824570464864865,0.04122947637034491,0.04311483737468746
-0.03822970464864864,0.04056156485426543,0.0414347548777636
-0.03821370464864864,0.04022760909622629,0.040090688880224
-0.03819770464864864,0.04056156485426558,0.0397546723808393
-0.03818170464864865,0.04089552061230502,0.0397546723808393
-0.03816570464864865,0.04056156485426543,0.03874662288268516
-0.03814970464864865,0.04089552061230517,0.03908263938207002
-0.03813370464864865,0.04056156485426543,0.03874662288268516
-0.03811770464864864,0.04289925516054272,0.05353134885561639
-0.03810170464864864,0.043233210918582,0.05554744785192267
-0.03808570464864865,0.04223134364446414,0.05017118386177066
-0.03806970464864865,0.0418973878864241,0.04681101886792202
-0.03805370464864865,0.04122947637034491,0.04378687037345719
-0.03803770464864865,0.04122947637034491,0.04244280437591774
-0.03802170464864865,0.04122947637034491,0.0414347548777636
-0.03800570464864864,0.04056156485426574,0.04009068888022416
-0.03798970464864864,0.0412294763703446,0.04009068888022385
-0.03797370464864865,0.04056156485426574,0.03941865588145474
-0.03795770464864865,0.04056156485426543,0.03874662288268516
-0.03794170464864865,0.04122947637034491,0.03908263938207002
-0.03792570464864865,0.0415634321283842,0.04244280437591774
-0.03790970464864864,0.04323321091858245,0.05857159634638842
-0.03789370464864864,0.04323321091858184,0.05285931585684453
-0.03787770464864865,0.04189738788642455,0.04815508486546163
-0.03786170464864865,0.04122947637034521,0.04479491987161285
-0.03784570464864865,0.04189738788642394,0.04345085387407233
-0.03782970464864865,0.04056156485426543,0.0414347548777636
-0.03781370464864865,0.04022760909622614,0.0397546723808393
-0.03779770464864864,0.04156343212838375,0.04076272187899327
-0.03778170464864864,0.04056156485426543,0.03941865588145428
-0.03776570464864865,0.04056156485426543,0.03908263938207017
-0.03774970464864865,0.04089552061230517,0.03908263938207002
-0.03773370464864865,0.04089552061230517,0.03874662288268516
-0.03771770464864865,0.04256529940250298,0.05319533235623153
-0.03770170464864864,0.04323321091858245,0.05554744785192511
-0.03768570464864864,0.04223134364446338,0.04983516736238228
-0.03766970464864865,0.04156343212838451,0.04647500236853716
-0.03765370464864865,0.04122947637034506,0.04378687037345841
-0.03763770464864865,0.04089552061230517,0.04244280437591774
-0.03762170464864865,0.04089552061230517,0.04109873837837874
-0.03760570464864865,0.04089552061230517,0.04009068888022416
-0.03758970464864864,0.04089552061230486,0.03975467238083899
-0.03757370464864864,0.04022760909622644,0.03908263938207002
-0.03755770464864865,0.04089552061230486,0.03908263938207002
-0.03754170464864865,0.04056156485426543,0.03874662288268516
-0.03752570464864865,0.04122947637034491,0.04210678787653288
-0.03750970464864865,0.04323321091858245,0.05857159634638842
-0.03749370464864864,0.04289925516054272,0.05218728285807739
-0.03747770464864864,0.04223134364446322,0.04849110136484268
-0.03746170464864865,0.04122947637034537,0.04479491987161301
-0.03744570464864865,0.04122947637034491,0.04311483737468823
-0.03742970464864865,0.04089552061230517,0.0414347548777636
-0.03741370464864865,0.04022760909622614,0.0397546723808393
-0.03739770464864865,0.04122947637034491,0.04042670537960902
-0.03738170464864864,0.04056156485426528,0.03941865588145413
-0.03736570464864864,0.04022760909622659,0.03874662288268546
-0.03734970464864865,0.04122947637034445,0.03941865588145413
-0.03733370464864865,0.04056156485426543,0.03841060638330029
-0.03731770464864865,0.04256529940250298,0.05285931585684667
-0.03730170464864865,0.04323321091858245,0.05554744785192511
-0.03728570464864864,0.04189738788642394,0.0498351673623838
-0.03726970464864864,0.0415634321283842,0.04647500236853457
-0.03725370464864865,0.0415634321283842,0.04412288687284312
-0.03723770464864865,0.04089552061230547,0.0421067878765338
-0.03722170464864865,0.04056156485426543,0.04042670537960902
-0.03720570464864865,0.04122947637034491,0.04042670537960902
-0.03718970464864865,0.04056156485426543,0.03941865588145443
-0.03717370464864864,0.04022760909622644,0.03908263938207002
-0.03715770464864864,0.04089552061230502,0.03908263938206971
-0.03714170464864865,0.04056156485426558,0.0384106063833006
-0.03712570464864865,0.04056156485426543,0.0421067878765312
-0.03710970464864865,0.04356716667662175,0.05890761284577328
-0.03709370464864865,0.04223134364446368,0.05218728285807739
-0.03707770464864864,0.0415634321283842,0.0481550848654595
-0.03706170464864864,0.04156343212838405,0.04513093637099527
-0.03704570464864864,0.04122947637034476,0.04311483737468685
-0.03702970464864865,0.04089552061230532,0.04177077137714907
-0.03701370464864865,0.04089552061230517,0.04042670537960902
-0.03699770464864865,0.04089552061230517,0.04009068888022416
-0.03698170464864865,0.04056156485426543,0.03941865588145443
-0.03696570464864864,0.04056156485426543,0.03908263938207002
-0.03694970464864864,0.04089552061230502,0.03908263938206986
-0.03693370464864865,0.04056156485426558,0.03874662288268531
-0.03691770464864865,0.04256529940250207,0.05319533235622496
-0.03690170464864865,0.04289925516054272,0.05554744785192511
-0.03688570464864865,0.04223134364446368,0.0498351673623838
-0.03686970464864864,0.04122947637034491,0.04613898586915077
-0.03685370464864864,0.0415634321283839,0.04378687037345627
-0.03683770464864864,0.04089552061230486,0.04177077137714785
-0.03682170464864865,0.04022760909622644,0.04042670537960963
-0.03680570464864865,0.04089552061230517,0.04042670537960902
-0.03678970464864865,0.04056156485426543,0.0397546723808393
-0.03677370464864865,0.04022760909622614,0.03874662288268516
-0.03675770464864864,0.04089552061230517,0.03941865588145443
-0.03674170464864864,0.04056156485426558,0.03874662288268668
-0.03672570464864865,0.04089552061230502,0.04210678787653135
-0.03670970464864865,0.04390112243466012,0.05924362934515035
-0.03669370464864865,0.04223134364446368,0.05218728285807739
-0.03667770464864865,0.04189738788642394,0.0481550848654595
-0.03666170464864865,0.0415634321283842,0.04546695287038105
-0.03664570464864864,0.04089552061230517,0.04244280437591728
-0.03662970464864864,0.04089552061230502,0.04143475487776314
-0.03661370464864865,0.04056156485426558,0.04042670537960948
-0.03659770464864865,0.04056156485426543,0.0397546723808393
-0.03658170464864865,0.04056156485426543,0.03908263938207002
-0.03656570464864865,0.04089552061230517,0.03941865588145443
-0.03654970464864864,0.04089552061230517,0.03908263938207002
-0.03653370464864864,0.04022760909622735,0.03841060638330687
-0.03651770464864865,0.0428992551605415,0.0528593158568401
-0.03650170464864865,0.0432332109185823,0.05554744785192389
-0.03648570464864865,0.04223134364446368,0.0498351673623838
-0.03646970464864865,0.04089552061230517,0.04580296936976591
-0.03645370464864865,0.04122947637034491,0.04412288687284205
-0.03643770464864864,0.04089552061230486,0.04177077137714785
-0.03642170464864864,0.04022760909622644,0.04042670537960902
-0.03640570464864865,0.04089552061230486,0.04042670537960902
-0.03638970464864865,0.04056156485426543,0.03941865588145443
-0.03637370464864865,0.04022760909622614,0.03841060638330029
-0.03635770464864865,0.04122947637034491,0.03941865588145443
-0.03634170464864864,0.04089552061230517,0.03874662288268516
-0.03632570464864864,0.04089552061230669,0.04210678787654067
-0.03630970464864865,0.04423507819269971,0.05924362934515035
-0.03629370464864865,0.04256529940250373,0.05218728285808059
-0.03627770464864865,0.0415634321283842,0.04781906836607464
-0.03626170464864865,0.04189738788642394,0.04513093637099619
-0.03624570464864865,0.04089552061230517,0.0427788208753026
-0.03622970464864864,0.04122947637034476,0.04177077137714785
-0.03621370464864864,0.04089552061230486,0.04042670537960856
-0.03619770464864865,0.04022760909622644,0.03941865588145489
-0.03618170464864865,0.04022760909622614,0.03908263938207002
-0.03616570464864865,0.04223134364446368,0.04042670537960902
-0.03614970464864865,0.04189738788642394,0.04009068888022416
-0.03613370464864864,0.04256529940250298,0.04042670537960902
-0.03611770464864864,0.04657276849898186,0.05689151384946915
-0.03610170464864865,0.05492166244996375,0.06697200883100404
-0.03608570464864865,0.0545877066919284,0.05890761284577695
-0.03606970464864865,0.05792726427232386,0.05957964584454301
-0.03605370464864865,0.0509141933534929,0.0498351673623838
-0.03603770464864865,0.04623881274093833,0.04345085387407233
-0.03602170464864865,0.04523694546681956,0.04109873837837874
-0.03600570464864865,0.04790859153113658,0.04042670537960902
-0.03598970464864865,0.0582612200303636,0.03941865588145443
-0.03597370464864864,0.05759330851428457,0.03874662288268516
-0.03595770464864865,0.05859517578840334,0.03941865588145443
-0.03594170464864865,0.0582612200303636,0.03874662288268516
-0.03592570464864864,0.0582612200303636,0.04210678787653288
-0.03590970464864865,0.06126682185271992,0.05924362934515814
-0.03589370464864865,0.1751457353442185,0.05218728285807739
-0.03587770464864865,0.1778173814085351,0.04781906836607464
-0.03586170464864865,0.1781513371665748,0.04546695287038105
-0.03584570464864865,0.1771494698924561,0.04210678787653288
-0.03582970464864865,0.1774834256504958,0.04109873837837874
-0.03581370464864865,0.1781513371665748,0.04042670537960902
-0.03579770464864865,0.7221652670130596,0.03773857338453057
-0.03578170464864865,0.937900686706632,0.03773857338453057
-0.03576570464864864,0.9405723327709488,0.03841060638330029
-0.03574970464864865,0.9422421115611466,0.03807458988391543
-0.03573370464864865,0.9429100230772258,0.03807458988391543
-0.03571770464864864,0.9469174921737007,0.05353134885561639
-0.03570170464864865,1.006361617104747,0.05487541485315584
-0.03568570464864865,1.073820680228743,0.0498351673623838
-0.03566970464864865,1.074488591744823,0.04647500236853563
-0.03565370464864865,1.074154635986783,0.04378687037345719
-0.03563770464864865,1.074488591744823,0.04177077137714846
-0.03562170464864865,1.074488591744823,0.04076272187899388
-0.03560570464864865,0.9045051109026734,0.04042670537960902
-0.03558970464864865,0.3047205694635777,0.0414347548777636
-0.03557370464864865,0.3020489233992611,0.04009068888022416
-0.03555770464864864,0.3010470561251424,0.0397546723808393
-0.03554170464864865,0.2990433215769048,0.03941865588145443
-0.03552570464864865,0.2980414543027861,0.04244280437591774
-0.03550970464864864,0.3007131003671026,0.05924362934515814
-0.03549370464864865,0.07729669823861984,0.05285931585684667
-0.03547770464864865,0.07028362731978888,0.0481550848654595
-0.03546170464864865,0.0696157158037094,0.04580296936976591
-0.03544570464864865,0.06794593701351159,0.0427788208753026
-0.03542970464864865,0.06727802549743256,0.04109873837837874
-0.03541370464864865,0.06761198125547185,0.04076272187899388
-0.03539770464864865,0.05291792790173044,0.04009068888022416
-0.03538170464864865,0.0472406800150571,0.03908263938207002
-0.03536570464864865,0.04790859153113658,0.03941865588145443
-0.03534970464864864,0.0472406800150571,0.03908263938207002
-0.03533370464864865,0.04690672425701781,0.03807458988391543
-0.03531770464864865,0.04991232607937413,0.05386736535500125
-0.03530170464864864,0.04690672425701781,0.0552114313525407
-0.03528570464864865,0.04223134364446368,0.0498351673623838
-0.03526970464864865,0.04390112243466149,0.04882711786422922
-0.03525370464864865,0.04390112243466149,0.04613898586915077
-0.03523770464864865,0.04289925516054272,0.04412288687284205
-0.03522170464864865,0.04189738788642394,0.04177077137714846
-0.03520570464864865,0.04056156485426543,0.04009068888022416
-0.03518970464864864,0.04089552061230517,0.0397546723808393
-0.03517370464864865,0.04056156485426543,0.03941865588145443
-0.03515770464864865,0.04022760909622614,0.03874662288268516
-0.03514170464864864,0.04056156485426543,0.03841060638330029
-0.03512570464864865,0.04122947637034491,0.04244280437591774
-0.03510970464864865,0.04356716667662175,0.05857159634638842
-0.03509370464864865,0.04223134364446368,0.05218728285807739
-0.03507770464864865,0.04223134364446368,0.0481550848654595
-0.03506170464864865,0.04122947637034491,0.04479491987161133
-0.03504570464864865,0.04089552061230517,0.04244280437591774
-0.03502970464864865,0.04089552061230517,0.04109873837837874
-0.03501370464864865,0.04089552061230517,0.04042670537960902
-0.03499770464864865,0.04056156485426543,0.0397546723808393
-0.03498170464864864,0.04022760909622614,0.03908263938207002
-0.03496570464864865,0.04056156485426543,0.03908263938207002
-0.03494970464864865,0.04056156485426543,0.03874662288268516
-0.03493370464864864,0.0398936533381864,0.03807458988391543
-0.03491770464864865,0.04289925516054272,0.05319533235623153
-0.03490170464864865,0.04289925516054272,0.0552114313525407
-0.03488570464864865,0.0415634321283842,0.04916313436361408
-0.03486970464864865,0.04189738788642394,0.04647500236853563
-0.03485370464864865,0.04089552061230517,0.04345085387407233
-0.03483770464864865,0.04022760909622614,0.0414347548777636
-0.03482170464864865,0.04056156485426543,0.04076272187899388
-0.03480570464864865,0.04022760909622614,0.03941865588145443
-0.03478970464864865,0.04022760909622614,0.03874662288268516
-0.03477370464864864,0.04022760909622614,0.03908263938207002
-0.03475770464864865,0.04022760909622614,0.03841060638330029
-0.03474170464864865,0.0398936533381864,0.03773857338453057
-0.03472570464864864,0.04122947637034491,0.04244280437591774
-0.03470970464864865,0.04289925516054272,0.05789956334761914
-0.03469370464864865,0.0415634321283842,0.0511792333599228
-0.03467770464864865,0.04189738788642394,0.04781906836607464
-0.03466170464864865,0.04056156485426543,0.04412288687284205
-0.03464570464864865,0.0398936533381864,0.04210678787653288
-0.03462970464864865,0.04089552061230517,0.0414347548777636
-0.03461370464864865,0.0398936533381864,0.03941865588145443
-0.03459770464864865,0.0398936533381864,0.03908263938207002
-0.03458170464864865,0.04056156485426543,0.03874662288268516
-0.03456570464864864,0.0398936533381864,0.03807458988391543
-0.03454970464864865,0.0398936533381864,0.03807458988391543
-0.03453370464864865,0.0398936533381864,0.03773857338453057
-0.03451770464864864,0.04223134364446368,0.05252329935746225
-0.03450170464864865,0.04189738788642394,0.05386736535500125
-0.03448570464864865,0.04122947637034491,0.04781906836607464
-0.03446970464864865,0.0398936533381864,0.04378687037345719
-0.03445370464864865,0.03889178606406762,0.04076272187899388
-0.03443770464864865,0.03889178606406762,0.03908263938207002
-0.03442170464864865,0.03855783030602788,0.03773857338453057
-0.03440570464864864,0.03822387454798859,0.03639450738699157
-0.03438970464864865,0.03822387454798859,0.03572247438822185
-0.03437370464864865,0.03855783030602788,0.03538645788883699
-0.03435770464864864,0.03822387454798859,0.03505044138945212
-0.03434170464864865,0.03755596303190911,0.0343784083906824
-0.03432570464864865,0.03889178606406762,0.03807458988391543
-0.03430970464864865,0.04056156485426543,0.05453939835377097
-0.03429370464864865,0.03922574182210736,0.04781906836607464
-0.03427770464864865,0.03955969758014666,0.04445890337222691
-0.03426170464864865,0.03855783030602788,0.04076272187899388
-0.03424570464864865,0.03788991878994885,0.03807458988391543
-0.03422970464864865,0.03855783030602788,0.03773857338453057
-0.03421370464864865,0.03788991878994885,0.03605849088760671
-0.03419770464864864,0.03755596303190911,0.03505044138945212
-0.03418170464864865,0.03822387454798859,0.03538645788883699
-0.03416570464864865,0.03755596303190911,0.03471442489006726
-0.03414970464864864,0.03722200727386982,0.0343784083906824
-0.03413370464864865,0.03788991878994885,0.0343784083906824
-0.03411770464864865,0.03955969758014666,0.04882711786422922
-0.03410170464864865,0.03955969758014666,0.05050720036115308
-0.03408570464864865,0.03922574182210736,0.04580296936976591
-0.03406970464864865,0.03822387454798859,0.04177077137714846
-0.03405370464864865,0.03755596303190911,0.03908263938207002
-0.03403770464864865,0.03822387454798859,0.03773857338453057
-0.03402170464864865,0.03722200727386982,0.03605849088760671
-0.03400570464864865,0.03722200727386982,0.03505044138945212
-0.03398970464864864,0.03788991878994885,0.03538645788883699
-0.03397370464864865,0.03755596303190911,0.0343784083906824
-0.03395770464864865,0.03755596303190911,0.0343784083906824
-0.03394170464864864,0.03755596303190911,0.03404239189129754
-0.03392570464864865,0.03755596303190911,0.03706654038576085
-0.03390970464864865,0.04022760909622614,0.05386736535500125
-0.03389370464864865,0.03955969758014666,0.04781906836607464
-0.03387770464864865,0.03855783030602788,0.04311483737468746
-0.03386170464864865,0.03822387454798859,0.04042670537960902
-0.03384570464864865,0.03788991878994885,0.03841060638330029
-0.03382970464864865,0.03755596303190911,0.03673052388637599
-0.03381370464864865,0.03688805151583008,0.03505044138945212
-0.03379770464864865,0.03755596303190911,0.03505044138945212
-0.03378170464864864,0.03755596303190911,0.0343784083906824
-0.03376570464864865,0.03755596303190911,0.03404239189129754
-0.03374970464864865,0.03722200727386982,0.03370637539191312
-0.03373370464864864,0.03755596303190911,0.03370637539191312
-0.03371770464864865,0.03955969758014666,0.0481550848654595
-0.03370170464864865,0.03922574182210736,0.0498351673623838
-0.03368570464864865,0.03889178606406762,0.04513093637099619
-0.03366970464864865,0.03822387454798859,0.0414347548777636
