#Digilent WaveForms Oscilloscope Acquisition
#Device Name: DIGI_VITO
#Serial Number: SN:210321B3D6BB
#Date Time: 2025-12-04 10:33:09.786
#Sample rate: 80000Hz
#Samples: 8192
#Trigger: Source: Channel 2 Type: Edge Condition: Rising Level: 1.15 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 500 mV/div Offset: -2.5 V Sample Mode: Average
#Channel 2: Range: 500 mV/div Offset: -2.5 V Sample Mode: Average
#Wavegen Channel 2: Running
#Mode: Simple
#Type: RampUp
#Frequency: 5 kHz
#Period: 200 us
#Amplitude: 1.65 V
#Offset: 1.65 V
#Symmetry: 100 %
#Phase: 0 °

Time (s),Channel 1 (V),Channel 2 (V)
-0.02519202562554873,0.03788991878994885,0.0343784083906824
-0.02517952562554873,0.03755596303190911,0.03404239189129739
-0.02516702562554873,0.03755596303190911,0.03370637539191312
-0.02515452562554873,0.03722200727386982,0.03337035889252826
-0.02514202562554873,0.03722200727386982,0.03337035889252826
-0.02512952562554873,0.03788991878994885,0.03706654038576085
-0.02511702562554873,0.0412294763703443,0.05420338185438367
-0.02510452562554873,0.0398936533381864,0.04882711786422922
-0.02509202562554873,0.03922574182210736,0.04513093637099619
-0.02507952562554873,0.03889178606406762,0.04210678787653288
-0.02506702562554873,0.03855783030602788,0.0397546723808393
-0.02505452562554873,0.03822387454798859,0.03841060638329968
-0.02504202562554873,0.03822387454798859,0.03706654038576085
-0.02502952562554873,0.03755596303190911,0.03605849088760671
-0.02501702562554873,0.03755596303190911,0.03538645788883699
-0.02500452562554873,0.03755596303190911,0.03505044138945212
-0.02499202562554872,0.0378899187899487,0.03471442489006681
-0.02497952562554873,0.03755596303190911,0.03370637539191312
-0.02496702562554873,0.03755596303190911,0.03404239189129754
-0.02495452562554873,0.03788991878994885,0.03404239189129754
-0.02494202562554873,0.03788991878994885,0.03370637539191312
-0.02492952562554872,0.0382238745479898,0.03706654038576879
-0.02491702562554873,0.04089552061230517,0.05453939835377097
